forecast_id,station_id,target_timestamp,lead_time_hours,forecast_issued_at,forecasted_temp_c,forecasted_precip_mm,forecasted_wind_kmh,forecasted_condition,forecasted_umbrella,forecasted_clothing,actual_temp_c,actual_precip_mm,actual_wind_kmh,actual_condition,actual_umbrella,actual_clothing,temp_error_c,precip_error_mm,wind_error_kmh,umbrella_correct,clothing_correct,condition_correct
FCST-000024,WS-001,2025-03-14 23:00:00,24,2025-03-13 23:00:00,-9.7,0,7.8,clear,0,heavy_winter_coat_gloves_hat,-11.2,0,8.6,clear,0,heavy_winter_coat_gloves_hat,1.5,0,-0.8,1,1,1
FCST-000025,WS-007,2025-04-05 00:00:00,3,2025-04-04 21:00:00,4.5,0,24.9,clear,0,winter_coat_scarf_gloves,4.8,0,24.6,clear,0,warm_jacket_layers,-0.3,0,0.3,1,0,1
FCST-000026,WS-007,2025-04-05 01:00:00,3,2025-04-04 22:00:00,7.0,0.1,6.0,clear,0,warm_jacket_layers,6.1,0,8.1,clear,0,warm_jacket_layers,0.9,0.1,-2.1,1,1,1
FCST-000027,WS-007,2025-04-05 02:00:00,3,2025-04-04 23:00:00,8.4,0.1,3.3,clear,0,light_jacket_or_sweater,7.8,0,5.0,clear,0,warm_jacket_layers,0.6,0.1,-1.7,1,0,1
FCST-000028,WS-007,2025-04-05 03:00:00,6,2025-04-04 21:00:00,9.0,0,22.3,clear,0,warm_jacket_layers,8.0,0,18.2,clear,0,warm_jacket_layers,1.0,0,4.1,1,1,1
FCST-000029,WS-007,2025-04-05 04:00:00,24,2025-04-04 04:00:00,1.4,0,33.3,heavy_snow,0,winter_coat_scarf_gloves,7.9,0,7.7,clear,0,warm_jacket_layers,-6.5,0,25.6,1,0,0
FCST-000030,WS-007,2025-04-05 05:00:00,1,2025-04-05 04:00:00,9.0,0,0.5,clear,0,light_jacket_or_sweater,9.2,0,0,clear,0,long_sleeves_light_layer,-0.2,0,0.5,1,0,1
FCST-000031,WS-007,2025-04-05 06:00:00,1,2025-04-05 05:00:00,9.8,0.0,0.3,clear,0,light_jacket_or_sweater,9.7,0,0,clear,0,long_sleeves_light_layer,0.1,0.0,0.3,1,0,1
FCST-000032,WS-007,2025-04-05 07:00:00,6,2025-04-05 01:00:00,10.8,0.1,0.1,clear,0,light_jacket_or_sweater,11.7,0,2.0,clear,0,light_jacket_or_sweater,-0.9,0.1,-1.9,1,1,1
FCST-000033,WS-007,2025-04-05 08:00:00,24,2025-04-04 08:00:00,14.0,0,5.9,clear,0,light_jacket_or_sweater,12.3,0,9.1,clear,0,light_jacket_or_sweater,1.7,0,-3.2,1,1,1
FCST-000034,WS-007,2025-04-05 09:00:00,1,2025-04-05 08:00:00,13.6,0.0,6.8,clear,0,light_jacket_or_sweater,13.6,0,7.5,clear,0,light_jacket_or_sweater,0.0,0.0,-0.7,1,1,1
FCST-000035,WS-007,2025-04-05 10:00:00,6,2025-04-05 04:00:00,14.9,0.8,0,clear,0,light_jacket_or_sweater,15.8,0,0,clear,0,long_sleeves_light_layer,-0.9,0.8,0,1,0,1
FCST-000036,WS-007,2025-04-05 11:00:00,24,2025-04-04 11:00:00,16.2,0.4,4.5,clear,0,long_sleeves_light_layer,15.9,0,6.6,clear,0,long_sleeves_light_layer,0.3,0.4,-2.1,1,1,1
FCST-000037,WS-007,2025-04-05 12:00:00,12,2025-04-05 00:00:00,12.1,1.0,7.4,heavy_snow,0,light_jacket_or_sweater,15.4,0,5.9,clear,0,long_sleeves_light_layer,-3.3,1.0,1.5,1,0,0
FCST-000038,WS-007,2025-04-05 13:00:00,12,2025-04-05 01:00:00,19.1,0,9.9,clear,0,long_sleeves_light_layer,16.2,0,6.4,clear,0,long_sleeves_light_layer,2.9,0,3.5,1,1,1
FCST-000039,WS-007,2025-04-05 14:00:00,3,2025-04-05 11:00:00,15.4,0,0,clear,0,long_sleeves_light_layer,15.4,0,0,clear,0,long_sleeves_light_layer,0.0,0,0,1,1,1
FCST-000040,WS-007,2025-04-05 15:00:00,3,2025-04-05 12:00:00,15.2,0.1,27.1,clear,0,long_sleeves_light_layer,14.2,0,25.4,clear,0,light_jacket_or_sweater,1.0,0.1,1.7,1,0,1
FCST-000041,WS-007,2025-04-05 16:00:00,3,2025-04-05 13:00:00,12.3,0,6.8,clear,0,light_jacket_or_sweater,13.2,0,7.9,clear,0,light_jacket_or_sweater,-0.9,0,-1.1,1,1,1
FCST-000042,WS-007,2025-04-05 17:00:00,1,2025-04-05 16:00:00,13.4,0.0,0,clear,0,light_jacket_or_sweater,13.9,0,0,clear,0,light_jacket_or_sweater,-0.5,0.0,0,1,1,1
FCST-000043,WS-007,2025-04-05 18:00:00,1,2025-04-05 17:00:00,10.2,0,8.1,clear,0,light_jacket_or_sweater,10.3,0,8.9,clear,0,light_jacket_or_sweater,-0.1,0,-0.8,1,1,1
FCST-000044,WS-007,2025-04-05 19:00:00,3,2025-04-05 16:00:00,9.2,0.0,18.8,clear,0,warm_jacket_layers,9.6,0,18.5,clear,0,warm_jacket_layers,-0.4,0.0,0.3,1,1,1
FCST-000045,WS-007,2025-04-05 20:00:00,6,2025-04-05 14:00:00,7.2,0.1,3.3,clear,0,warm_jacket_layers,7.1,0,7.3,clear,0,warm_jacket_layers,0.1,0.1,-4.0,1,1,1
FCST-000046,WS-007,2025-04-05 21:00:00,24,2025-04-04 21:00:00,6.7,0,17.2,clear,0,warm_jacket_layers,6.7,0,10.1,clear,0,warm_jacket_layers,0.0,0,7.1,1,1,1
FCST-000047,WS-007,2025-04-05 22:00:00,6,2025-04-05 16:00:00,7.4,0,11.0,clear,0,warm_jacket_layers,6.3,0,11.9,clear,0,warm_jacket_layers,1.1,0,-0.9,1,1,1
FCST-000048,WS-007,2025-04-05 23:00:00,1,2025-04-05 22:00:00,5.5,0,0,clear,0,long_sleeves_light_layer,5.5,0,0,clear,0,long_sleeves_light_layer,0.0,0,0,1,1,1
FCST-000049,WS-001,2025-04-30 00:00:00,3,2025-04-29 21:00:00,1.1,0.2,10.9,clear,0,winter_coat_scarf_gloves,1.5,0,10.7,clear,0,winter_coat_scarf_gloves,-0.4,0.2,0.2,1,1,1
FCST-000050,WS-001,2025-04-30 01:00:00,3,2025-04-29 22:00:00,-1.8,0,14.3,clear,0,winter_coat_scarf_gloves,-0.4,0,15.1,clear,0,winter_coat_scarf_gloves,-1.4,0,-0.8,1,1,1
FCST-000051,WS-001,2025-04-30 02:00:00,12,2025-04-29 14:00:00,-3.4,0.1,18.5,snow,0,winter_coat_scarf_gloves,1.2,0,19.3,clear,0,winter_coat_scarf_gloves,-4.6,0.1,-0.8,1,1,0
FCST-000052,WS-001,2025-04-30 03:00:00,6,2025-04-29 21:00:00,1.6,0,12.3,clear,0,winter_coat_scarf_gloves,1.4,0,17.7,clear,0,winter_coat_scarf_gloves,0.2,0,-5.4,1,1,1
FCST-000053,WS-001,2025-04-30 04:00:00,12,2025-04-29 16:00:00,5.7,0,2.8,clear,0,warm_jacket_layers,4.0,0,5.7,clear,0,warm_jacket_layers,1.7,0,-2.9,1,1,1
FCST-000054,WS-001,2025-04-30 05:00:00,3,2025-04-30 02:00:00,2.9,0.0,11.3,clear,0,winter_coat_scarf_gloves,3.4,0,13.2,clear,0,warm_jacket_layers,-0.5,0.0,-1.9,1,0,1
FCST-000055,WS-001,2025-04-30 06:00:00,6,2025-04-30 00:00:00,2.6,0,7.9,clear,0,warm_jacket_layers,5.1,0,10.4,clear,0,warm_jacket_layers,-2.5,0,-2.5,1,1,1
FCST-000056,WS-001,2025-04-30 07:00:00,12,2025-04-29 19:00:00,5.0,0,31.7,clear,0,winter_coat_scarf_gloves,7.6,0,14.8,clear,0,warm_jacket_layers,-2.6,0,16.9,1,0,1
FCST-000057,WS-001,2025-04-30 08:00:00,24,2025-04-29 08:00:00,10.7,1.7,19.6,clear,0,light_jacket_or_sweater,8.3,0,5.7,clear,0,warm_jacket_layers,2.4,1.7,13.9,1,0,1
FCST-000058,WS-001,2025-04-30 09:00:00,1,2025-04-30 08:00:00,7.1,0.0,7.8,clear,0,warm_jacket_layers,6.8,0,6.8,clear,0,warm_jacket_layers,0.3,0.0,1.0,1,1,1
FCST-000059,WS-001,2025-04-30 10:00:00,12,2025-04-29 22:00:00,7.5,0,11.9,clear,0,warm_jacket_layers,7.7,0,0,clear,0,long_sleeves_light_layer,-0.2,0,11.9,1,0,1
FCST-000060,WS-001,2025-04-30 11:00:00,12,2025-04-29 23:00:00,12.0,0.2,11.9,clear,0,light_jacket_or_sweater,9.9,0,13.3,clear,0,light_jacket_or_sweater,2.1,0.2,-1.4,1,1,1
FCST-000061,WS-001,2025-04-30 12:00:00,3,2025-04-30 09:00:00,9.6,0,4.9,clear,0,light_jacket_or_sweater,9.7,0,4.5,clear,0,light_jacket_or_sweater,-0.1,0,0.4,1,1,1
FCST-000062,WS-001,2025-04-30 13:00:00,24,2025-04-29 13:00:00,8.9,0,11.2,clear,0,warm_jacket_layers,10.0,0,14.8,clear,0,warm_jacket_layers,-1.1,0,-3.6,1,1,1
FCST-000063,WS-001,2025-04-30 14:00:00,12,2025-04-30 02:00:00,7.9,0.1,0.7,clear,0,light_jacket_or_sweater,9.1,0,3.9,clear,0,light_jacket_or_sweater,-1.2,0.1,-3.2,1,1,1
FCST-000064,WS-001,2025-04-30 15:00:00,24,2025-04-29 15:00:00,4.9,0,16.7,snow,0,warm_jacket_layers,8.2,0,5.4,clear,0,warm_jacket_layers,-3.3,0,11.3,1,1,0
FCST-000065,WS-001,2025-04-30 16:00:00,1,2025-04-30 15:00:00,7.3,0,7.5,clear,0,warm_jacket_layers,7.1,0,7.7,clear,0,warm_jacket_layers,0.2,0,-0.2,1,1,1
FCST-000066,WS-001,2025-04-30 17:00:00,1,2025-04-30 16:00:00,5.1,0,0,clear,0,long_sleeves_light_layer,5.4,0,0,clear,0,long_sleeves_light_layer,-0.3,0,0,1,1,1
FCST-000067,WS-001,2025-04-30 18:00:00,6,2025-04-30 12:00:00,3.3,0,0,clear,0,long_sleeves_light_layer,4.7,0,0,clear,0,long_sleeves_light_layer,-1.4,0,0,1,1,1
FCST-000068,WS-001,2025-04-30 19:00:00,1,2025-04-30 18:00:00,4.6,0,5.6,clear,0,warm_jacket_layers,4.5,0,5.6,clear,0,warm_jacket_layers,0.1,0,0.0,1,1,1
FCST-000069,WS-001,2025-04-30 20:00:00,24,2025-04-29 20:00:00,3.3,0.1,8.4,clear,0,warm_jacket_layers,2.2,0,9.0,clear,0,winter_coat_scarf_gloves,1.1,0.1,-0.6,1,0,1
FCST-000070,WS-001,2025-04-30 21:00:00,3,2025-04-30 18:00:00,1.0,0.2,14.1,clear,0,winter_coat_scarf_gloves,1.2,0,13.7,clear,0,winter_coat_scarf_gloves,-0.2,0.2,0.4,1,1,1
FCST-000071,WS-001,2025-04-30 22:00:00,6,2025-04-30 16:00:00,2.7,0,10.8,clear,0,winter_coat_scarf_gloves,2.1,0,10.8,clear,0,winter_coat_scarf_gloves,0.6,0,0.0,1,1,1
FCST-000072,WS-001,2025-04-30 23:00:00,6,2025-04-30 17:00:00,-0.5,0.2,2.9,clear,0,winter_coat_scarf_gloves,-1.4,0,5.6,clear,0,winter_coat_scarf_gloves,0.9,0.2,-2.7,1,1,1
FCST-000073,WS-006,2025-02-11 00:00:00,12,2025-02-10 12:00:00,-1.6,0,2.4,clear,0,winter_coat_scarf_gloves,-3.4,0,0,clear,0,light_jacket_or_sweater,1.8,0,2.4,1,0,1
FCST-000074,WS-006,2025-02-11 01:00:00,12,2025-02-10 13:00:00,-4.8,0,11.1,clear,0,winter_coat_scarf_gloves,-4.2,0,11.0,clear,0,winter_coat_scarf_gloves,-0.6,0,0.1,1,1,1
FCST-000075,WS-006,2025-02-11 02:00:00,3,2025-02-10 23:00:00,-3.3,0.2,9.9,clear,0,winter_coat_scarf_gloves,-3.7,0,6.9,clear,0,winter_coat_scarf_gloves,0.4,0.2,3.0,1,1,1
FCST-000076,WS-006,2025-02-11 03:00:00,1,2025-02-11 02:00:00,-2.1,0.0,7.1,clear,0,winter_coat_scarf_gloves,-1.9,0,6.7,clear,0,winter_coat_scarf_gloves,-0.2,0.0,0.4,1,1,1
FCST-000077,WS-006,2025-02-11 04:00:00,24,2025-02-10 04:00:00,5.4,0.6,0,cloudy,0,long_sleeves_light_layer,-1.4,0,9.1,clear,0,winter_coat_scarf_gloves,6.8,0.6,-9.1,1,0,0
FCST-000078,WS-006,2025-02-11 05:00:00,3,2025-02-11 02:00:00,-2.0,0,9.6,clear,0,winter_coat_scarf_gloves,-1.4,0,9.1,clear,0,winter_coat_scarf_gloves,-0.6,0,0.5,1,1,1
FCST-000079,WS-006,2025-02-11 06:00:00,1,2025-02-11 05:00:00,1.1,0,8.0,clear,0,winter_coat_scarf_gloves,1.3,0,7.0,clear,0,winter_coat_scarf_gloves,-0.2,0,1.0,1,1,1
FCST-000080,WS-006,2025-02-11 07:00:00,1,2025-02-11 06:00:00,1.0,0,17.8,clear,0,winter_coat_scarf_gloves,1.2,0,18.1,clear,0,winter_coat_scarf_gloves,-0.2,0,-0.3,1,1,1
FCST-000081,WS-006,2025-02-11 08:00:00,12,2025-02-10 20:00:00,2.7,0,22.7,clear,0,winter_coat_scarf_gloves,2.8,0,14.2,clear,0,winter_coat_scarf_gloves,-0.1,0,8.5,1,1,1
FCST-000082,WS-006,2025-02-11 09:00:00,3,2025-02-11 06:00:00,4.0,0,6.8,clear,0,warm_jacket_layers,5.5,0,6.3,clear,0,warm_jacket_layers,-1.5,0,0.5,1,1,1
FCST-000083,WS-006,2025-02-11 10:00:00,12,2025-02-10 22:00:00,2.3,0,6.7,clear,0,warm_jacket_layers,4.1,0,8.3,clear,0,warm_jacket_layers,-1.8,0,-1.6,1,1,1
FCST-000084,WS-006,2025-02-11 11:00:00,1,2025-02-11 10:00:00,6.0,0,9.2,clear,0,warm_jacket_layers,5.9,0,9.8,clear,0,warm_jacket_layers,0.1,0,-0.6,1,1,1
FCST-000085,WS-006,2025-02-11 12:00:00,6,2025-02-11 06:00:00,4.0,0.2,9.7,clear,0,warm_jacket_layers,4.1,0,8.0,clear,0,warm_jacket_layers,-0.1,0.2,1.7,1,1,1
FCST-000086,WS-006,2025-02-11 13:00:00,6,2025-02-11 07:00:00,6.1,0,2.1,clear,0,warm_jacket_layers,5.1,0,9.4,clear,0,warm_jacket_layers,1.0,0,-7.3,1,1,1
FCST-000087,WS-006,2025-02-11 14:00:00,12,2025-02-11 02:00:00,9.0,0,10.5,heavy_snow,0,warm_jacket_layers,4.6,0,11.7,clear,0,warm_jacket_layers,4.4,0,-1.2,1,1,0
FCST-000088,WS-006,2025-02-11 15:00:00,1,2025-02-11 14:00:00,3.7,0.1,21.7,clear,0,winter_coat_scarf_gloves,3.7,0,21.5,clear,0,winter_coat_scarf_gloves,0.0,0.1,0.2,1,1,1
FCST-000089,WS-006,2025-02-11 16:00:00,24,2025-02-10 16:00:00,-0.2,0.3,0,heavy_rain,1,light_jacket_or_sweater,3.5,0,9.5,clear,0,warm_jacket_layers,-3.7,0.3,-9.5,0,0,0
FCST-000090,WS-006,2025-02-11 17:00:00,3,2025-02-11 14:00:00,1.8,0.2,10.2,clear,0,winter_coat_scarf_gloves,1.8,0,11.4,clear,0,winter_coat_scarf_gloves,0.0,0.2,-1.2,1,1,1
FCST-000091,WS-006,2025-02-11 18:00:00,3,2025-02-11 15:00:00,-1.2,0.2,5.1,clear,0,winter_coat_scarf_gloves,-0.4,0,4.7,clear,0,winter_coat_scarf_gloves,-0.8,0.2,0.4,1,1,1
FCST-000092,WS-006,2025-02-11 19:00:00,12,2025-02-11 07:00:00,0.1,0,0,clear,0,light_jacket_or_sweater,-0.7,0,4.1,clear,0,winter_coat_scarf_gloves,0.8,0,-4.1,1,0,1
FCST-000093,WS-006,2025-02-11 20:00:00,6,2025-02-11 14:00:00,-2.9,0,3.2,clear,0,winter_coat_scarf_gloves,-3.4,0,1.4,clear,0,winter_coat_scarf_gloves,0.5,0,1.8,1,1,1
FCST-000094,WS-006,2025-02-11 21:00:00,12,2025-02-11 09:00:00,-2.6,0.6,11.4,clear,0,winter_coat_scarf_gloves,-1.9,0,12.0,clear,0,winter_coat_scarf_gloves,-0.7,0.6,-0.6,1,1,1
FCST-000095,WS-006,2025-02-11 22:00:00,3,2025-02-11 19:00:00,-3.4,0.1,9.2,clear,0,winter_coat_scarf_gloves,-3.3,0,9.8,clear,0,winter_coat_scarf_gloves,-0.1,0.1,-0.6,1,1,1
FCST-000096,WS-006,2025-02-11 23:00:00,3,2025-02-11 20:00:00,-4.2,0.2,9.9,clear,0,winter_coat_scarf_gloves,-4.6,0,9.6,clear,0,winter_coat_scarf_gloves,0.4,0.2,0.3,1,1,1
FCST-000097,WS-004,2025-06-06 00:00:00,6,2025-06-05 18:00:00,15.6,0.2,16.1,clear,0,long_sleeves_light_layer,16.3,0,14.5,clear,0,long_sleeves_light_layer,-0.7,0.2,1.6,1,1,1
FCST-000098,WS-004,2025-06-06 01:00:00,24,2025-06-05 01:00:00,22.9,1.1,23.0,fog,0,t_shirt_comfortable,17.2,0,14.6,clear,0,long_sleeves_light_layer,5.7,1.1,8.4,1,0,0
FCST-000099,WS-004,2025-06-06 02:00:00,24,2025-06-05 02:00:00,18.7,0,4.6,clear,0,long_sleeves_light_layer,16.4,0,7.6,clear,0,long_sleeves_light_layer,2.3,0,-3.0,1,1,1
FCST-000100,WS-004,2025-06-06 03:00:00,12,2025-06-05 15:00:00,15.0,0.5,16.3,rain,1,long_sleeves_light_layer,18.8,0,11.8,clear,0,long_sleeves_light_layer,-3.8,0.5,4.5,0,1,0
FCST-000101,WS-004,2025-06-06 04:00:00,6,2025-06-05 22:00:00,19.1,1.0,15.9,clear,0,long_sleeves_light_layer,18.7,0,11.9,clear,0,long_sleeves_light_layer,0.4,1.0,4.0,1,1,1
FCST-000102,WS-004,2025-06-06 05:00:00,3,2025-06-06 02:00:00,17.6,0.1,14.4,clear,0,long_sleeves_light_layer,18.3,0,13.2,clear,0,long_sleeves_light_layer,-0.7,0.1,1.2,1,1,1
FCST-000103,WS-004,2025-06-06 06:00:00,12,2025-06-05 18:00:00,21.5,0.6,12.7,clear,0,long_sleeves_light_layer,21.5,0,3.8,clear,0,long_sleeves_light_layer,0.0,0.6,8.9,1,1,1
FCST-000104,WS-004,2025-06-06 07:00:00,1,2025-06-06 06:00:00,23.1,0,5.7,clear,0,t_shirt_comfortable,22.8,0,5.5,clear,0,t_shirt_comfortable,0.3,0,0.2,1,1,1
FCST-000105,WS-004,2025-06-06 08:00:00,12,2025-06-05 20:00:00,19.4,0,10.7,fog,0,long_sleeves_light_layer,23.5,0,0,clear,0,t_shirt_comfortable,-4.1,0,10.7,1,0,0
FCST-000106,WS-004,2025-06-06 09:00:00,1,2025-06-06 08:00:00,25.5,0,0,clear,0,t_shirt_comfortable,25.4,0,0,clear,0,t_shirt_comfortable,0.1,0,0,1,1,1
FCST-000107,WS-004,2025-06-06 10:00:00,24,2025-06-05 10:00:00,20.8,0.8,0,clear,0,long_sleeves_light_layer,24.9,0,0,clear,0,t_shirt_comfortable,-4.1,0.8,0,1,0,1
FCST-000108,WS-004,2025-06-06 11:00:00,1,2025-06-06 10:00:00,25.3,0,13.3,clear,0,t_shirt_comfortable,25.4,0,13.2,clear,0,t_shirt_comfortable,-0.1,0,0.1,1,1,1
FCST-000109,WS-004,2025-06-06 12:00:00,1,2025-06-06 11:00:00,25.0,0,10.8,clear,0,t_shirt_comfortable,25.2,0,12.0,clear,0,t_shirt_comfortable,-0.2,0,-1.2,1,1,1
FCST-000110,WS-004,2025-06-06 13:00:00,1,2025-06-06 12:00:00,26.7,0,8.9,clear,0,t_shirt_comfortable,26.5,0,8.9,clear,0,t_shirt_comfortable,0.2,0,0.0,1,1,1
FCST-000111,WS-004,2025-06-06 14:00:00,6,2025-06-06 08:00:00,26.7,0.3,15.1,clear,0,t_shirt_comfortable,25.5,0,17.8,clear,0,t_shirt_comfortable,1.2,0.3,-2.7,1,1,1
FCST-000112,WS-004,2025-06-06 15:00:00,12,2025-06-06 03:00:00,23.8,0.1,4.0,clear,0,t_shirt_comfortable,24.0,0,7.5,clear,0,t_shirt_comfortable,-0.2,0.1,-3.5,1,1,1
FCST-000113,WS-004,2025-06-06 16:00:00,6,2025-06-06 10:00:00,23.0,0.4,8.8,clear,0,t_shirt_comfortable,23.6,0,10.1,clear,0,t_shirt_comfortable,-0.6,0.4,-1.3,1,1,1
FCST-000114,WS-004,2025-06-06 17:00:00,24,2025-06-05 17:00:00,15.8,0.3,15.3,rain,1,long_sleeves_light_layer,22.8,0,9.9,clear,0,t_shirt_comfortable,-7.0,0.3,5.4,0,0,0
FCST-000115,WS-004,2025-06-06 18:00:00,1,2025-06-06 17:00:00,22.1,0.0,11.1,clear,0,t_shirt_comfortable,22.0,0,11.1,clear,0,t_shirt_comfortable,0.1,0.0,0.0,1,1,1
FCST-000116,WS-004,2025-06-06 19:00:00,1,2025-06-06 18:00:00,20.6,0,19.3,clear,0,long_sleeves_light_layer,20.6,0,19.3,clear,0,long_sleeves_light_layer,0.0,0,0.0,1,1,1
FCST-000117,WS-004,2025-06-06 20:00:00,6,2025-06-06 14:00:00,19.2,0.2,7.6,clear,0,long_sleeves_light_layer,18.8,0,9.2,clear,0,long_sleeves_light_layer,0.4,0.2,-1.6,1,1,1
FCST-000118,WS-004,2025-06-06 21:00:00,24,2025-06-05 21:00:00,8.5,0,2.0,fog,0,light_jacket_or_sweater,15.9,0,11.1,clear,0,long_sleeves_light_layer,-7.4,0,-9.1,1,0,0
FCST-000119,WS-004,2025-06-06 22:00:00,12,2025-06-06 10:00:00,18.6,0,3.1,clear,0,long_sleeves_light_layer,17.1,0,11.3,clear,0,long_sleeves_light_layer,1.5,0,-8.2,1,1,1
