summary_id,station_id,station_name,climate_zone,date,month,day_of_week,is_weekend,season,temp_min_c,temp_max_c,temp_avg_c,feels_like_min_c,feels_like_max_c,total_precipitation_mm,snow_hours,rain_hours,max_wind_kmh,max_gust_kmh,avg_humidity_pct,max_uv_index,dominant_condition,thunderstorm_occurred,avg_outdoor_suitability,best_outdoor_hour,umbrella_recommended,clothing_morning,clothing_afternoon,clothing_evening,day_summary_text
DAY-00011,WS-001,Sivas Merkez,semi-arid_continental,2025-01-11,1,5,1,winter,-17.1,-6.7,-11.5,-23.1,8.6,23.4,22,0,17.6,27.6,79.3,1.1,snow,0,0.6,10,1,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,Snow day. Temp -17.1–-6.7°C. Rain 23.4mm. Best time outdoors: 10:00.
DAY-00012,WS-001,Sivas Merkez,semi-arid_continental,2025-01-12,1,6,1,winter,-8.2,3.0,-2.5,-12.2,14.5,0,0,0,16.3,27.2,48.5,1.9,clear,0,7.8,8,0,winter_coat_scarf_gloves,light_jacket_or_sweater,winter_coat_scarf_gloves,Clear day. Temp -8.2–3.0°C. Best time outdoors: 8:00.
DAY-00013,WS-001,Sivas Merkez,semi-arid_continental,2025-01-13,1,0,0,winter,-15.8,-4.4,-9.8,-22.7,8.5,23.9,22,0,21.2,41.3,76.0,1.1,snow,0,0.4,20,1,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,Snow day. Temp -15.8–-4.4°C. Rain 23.9mm. Best time outdoors: 20:00.
DAY-00014,WS-001,Sivas Merkez,semi-arid_continental,2025-01-14,1,1,0,winter,-12.4,-0.7,-6.1,-19.5,11.4,0,0,0,19.8,30.8,46.6,2.0,clear,0,6.2,6,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -12.4–-0.7°C. Best time outdoors: 6:00.
DAY-00015,WS-001,Sivas Merkez,semi-arid_continental,2025-01-15,1,2,0,winter,-7.6,2.8,-2.5,-13.6,14.4,19.2,14,7,20.3,28.7,77.3,1.2,snow,0,3.1,16,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,light_jacket_or_sweater,Snow day. Temp -7.6–2.8°C. Rain 19.2mm. Best time outdoors: 16:00.
DAY-00016,WS-001,Sivas Merkez,semi-arid_continental,2025-01-16,1,3,0,winter,-14.5,-3.8,-9.2,-22.0,10.6,27.7,24,0,19.3,31.7,76.3,1.0,snow,0,0.3,13,1,heavy_winter_coat_gloves_hat,light_jacket_or_sweater,heavy_winter_coat_gloves_hat,Snow day. Temp -14.5–-3.8°C. Rain 27.7mm. Best time outdoors: 13:00.
DAY-00017,WS-001,Sivas Merkez,semi-arid_continental,2025-01-17,1,4,0,winter,-10.5,1.8,-4.4,-17.6,13.5,0,0,0,18.2,26.5,54.6,1.9,clear,0,7.1,11,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -10.5–1.8°C. Best time outdoors: 11:00.
DAY-00018,WS-001,Sivas Merkez,semi-arid_continental,2025-01-18,1,5,1,winter,-10.9,-0.2,-5.5,-17.4,12.7,0,0,0,20.8,30.0,49.4,2.1,clear,0,6.4,9,0,heavy_winter_coat_gloves_hat,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -10.9–-0.2°C. Best time outdoors: 9:00.
DAY-00019,WS-001,Sivas Merkez,semi-arid_continental,2025-01-19,1,6,1,winter,-8.6,2.4,-2.0,-11.6,10.4,18.6,14,10,19.9,29.8,74.9,1.1,snow,0,3.1,8,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Snow day. Temp -8.6–2.4°C. Rain 18.6mm. Best time outdoors: 8:00.
DAY-00020,WS-001,Sivas Merkez,semi-arid_continental,2025-01-20,1,0,0,winter,-7.1,4.8,-1.6,-10.1,14.1,0,0,0,18.1,25.0,50.9,1.8,clear,0,8.1,8,0,warm_jacket_layers,warm_jacket_layers,heavy_winter_coat_gloves_hat,Clear day. Temp -7.1–4.8°C. Best time outdoors: 8:00.
DAY-00021,WS-001,Sivas Merkez,semi-arid_continental,2025-01-21,1,1,0,winter,-13.7,-1.7,-7.6,-20.1,10.7,0,0,0,17.2,26.4,47.9,2.1,clear,0,5.8,9,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -13.7–-1.7°C. Best time outdoors: 9:00.
DAY-00022,WS-001,Sivas Merkez,semi-arid_continental,2025-01-22,1,2,0,winter,-11.4,0.6,-6.0,-17.1,6.3,0,0,0,21.0,28.4,49.9,2.0,clear,0,6.6,11,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Clear day. Temp -11.4–0.6°C. Best time outdoors: 11:00.
DAY-00023,WS-001,Sivas Merkez,semi-arid_continental,2025-01-23,1,3,0,winter,-7.6,4.2,-1.1,-11.2,9.2,14.6,13,11,22.2,31.6,81.3,0.9,snow,0,3.0,7,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Snow day. Temp -7.6–4.2°C. Rain 14.6mm. Best time outdoors: 7:00.
DAY-00024,WS-001,Sivas Merkez,semi-arid_continental,2025-01-24,1,4,0,winter,-10.2,1.2,-4.8,-14.9,11.7,0,0,0,19.6,31.7,50.3,2.0,clear,0,7.2,11,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -10.2–1.2°C. Best time outdoors: 11:00.
DAY-00025,WS-001,Sivas Merkez,semi-arid_continental,2025-01-25,1,5,1,winter,-5.6,5.7,0.5,-9.0,12.5,13.8,11,13,21.1,35.6,76.8,1.1,drizzle,0,3.8,6,1,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Drizzle day. Temp -5.6–5.7°C. Rain 13.8mm. Best time outdoors: 6:00.
DAY-00026,WS-001,Sivas Merkez,semi-arid_continental,2025-01-26,1,6,1,winter,-7.1,3.9,-1.1,-12.9,15.5,4.4,13,7,20.5,29.2,77.8,1.0,snow,0,3.9,7,1,winter_coat_scarf_gloves,warm_jacket_layers,light_jacket_or_sweater,Snow day. Temp -7.1–3.9°C. Rain 4.4mm. Best time outdoors: 7:00.
DAY-00027,WS-001,Sivas Merkez,semi-arid_continental,2025-01-27,1,0,0,winter,-6.1,5.1,-0.9,-12.5,15.3,0,0,0,20.2,32.8,49.4,1.9,clear,0,8.2,7,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -6.1–5.1°C. Best time outdoors: 7:00.
DAY-00028,WS-001,Sivas Merkez,semi-arid_continental,2025-01-28,1,1,0,winter,-10.8,-0.1,-5.4,-17.7,12.2,0,0,0,19.8,29.1,53.2,2.0,clear,0,6.2,7,0,heavy_winter_coat_gloves_hat,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Clear day. Temp -10.8–-0.1°C. Best time outdoors: 7:00.
DAY-00029,WS-001,Sivas Merkez,semi-arid_continental,2025-01-29,1,2,0,winter,-13.1,-1.0,-6.3,-21.2,12.2,0,0,0,21.2,33.0,46.9,2.0,clear,0,6.0,7,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -13.1–-1.0°C. Best time outdoors: 7:00.
DAY-00030,WS-001,Sivas Merkez,semi-arid_continental,2025-01-30,1,3,0,winter,-11.4,0.1,-5.4,-17.5,9.6,24.1,23,1,21.7,41.7,76.5,1.0,snow,0,0.8,10,1,winter_coat_scarf_gloves,warm_jacket_layers,light_jacket_or_sweater,Snow day. Temp -11.4–0.1°C. Rain 24.1mm. Best time outdoors: 10:00.
DAY-00031,WS-001,Sivas Merkez,semi-arid_continental,2025-01-31,1,4,0,winter,-11.0,0.2,-5.3,-18.6,11.2,0,0,0,17.4,33.6,49.5,1.9,clear,0,6.4,11,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -11.0–0.2°C. Best time outdoors: 11:00.
DAY-00032,WS-001,Sivas Merkez,semi-arid_continental,2025-02-01,2,5,1,winter,-7.0,5.1,-0.5,-10.6,16.0,0,0,0,16.7,26.1,50.1,3.2,clear,0,8.2,7,0,winter_coat_scarf_gloves,warm_jacket_layers,light_jacket_or_sweater,Clear day. Temp -7.0–5.1°C. Best time outdoors: 7:00.
DAY-00033,WS-001,Sivas Merkez,semi-arid_continental,2025-02-02,2,6,1,winter,-10.1,2.1,-3.7,-16.6,14.0,0,0,0,16.5,20.5,49.9,2.9,clear,0,7.4,9,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -10.1–2.1°C. Best time outdoors: 9:00.
DAY-00034,WS-001,Sivas Merkez,semi-arid_continental,2025-02-03,2,0,0,winter,-11.8,0.4,-5.9,-20.3,8.1,13.6,21,1,21.4,35.5,78.2,1.5,snow,0,1.2,12,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,light_jacket_or_sweater,Snow day. Temp -11.8–0.4°C. Rain 13.6mm. Best time outdoors: 12:00.
DAY-00035,WS-001,Sivas Merkez,semi-arid_continental,2025-02-04,2,1,0,winter,-13.8,-2.6,-8.5,-21.0,10.8,0,0,0,20.1,37.1,51.6,2.9,clear,0,5.8,8,0,heavy_winter_coat_gloves_hat,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -13.8–-2.6°C. Best time outdoors: 8:00.
DAY-00036,WS-001,Sivas Merkez,semi-arid_continental,2025-02-05,2,2,0,winter,-15.1,-3.5,-9.1,-21.0,10.9,3.9,21,0,17.9,27.3,75.8,1.2,snow,0,1.0,18,1,heavy_winter_coat_gloves_hat,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Snow day. Temp -15.1–-3.5°C. Rain 3.9mm. Best time outdoors: 18:00.
DAY-00037,WS-001,Sivas Merkez,semi-arid_continental,2025-02-06,2,3,0,winter,-12.0,-2.1,-7.1,-17.4,10.8,0,0,0,15.0,26.7,47.7,3.1,clear,0,6.1,9,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -12.0–-2.1°C. Best time outdoors: 9:00.
DAY-00038,WS-001,Sivas Merkez,semi-arid_continental,2025-02-07,2,4,0,winter,-8.2,3.1,-2.8,-12.7,14.3,0,0,0,17.6,32.5,49.6,2.9,clear,0,7.7,8,0,winter_coat_scarf_gloves,light_jacket_or_sweater,winter_coat_scarf_gloves,Clear day. Temp -8.2–3.1°C. Best time outdoors: 8:00.
DAY-00039,WS-001,Sivas Merkez,semi-arid_continental,2025-02-08,2,5,1,winter,-6.6,4.6,-0.6,-9.6,11.9,0,0,0,15.9,27.2,48.8,3.1,clear,0,8.2,7,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -6.6–4.6°C. Best time outdoors: 7:00.
DAY-00040,WS-001,Sivas Merkez,semi-arid_continental,2025-02-09,2,6,1,winter,-12.5,-0.5,-6.6,-19.6,12.8,0,0,0,21.8,41.7,47.5,2.9,clear,0,5.8,6,0,light_jacket_or_sweater,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -12.5–-0.5°C. Best time outdoors: 6:00.
DAY-00041,WS-001,Sivas Merkez,semi-arid_continental,2025-02-10,2,0,0,winter,-8.1,3.3,-2.8,-14.3,14.3,0,0,0,19.5,30.8,45.4,2.7,clear,0,7.8,8,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -8.1–3.3°C. Best time outdoors: 8:00.
DAY-00042,WS-001,Sivas Merkez,semi-arid_continental,2025-02-11,2,1,0,winter,-4.9,6.7,1.0,-10.7,16.5,0,0,0,18.4,31.9,50.3,2.8,clear,0,8.8,6,0,warm_jacket_layers,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -4.9–6.7°C. Best time outdoors: 6:00.
DAY-00043,WS-001,Sivas Merkez,semi-arid_continental,2025-02-12,2,2,0,winter,-9.5,2.2,-4.1,-14.3,14.5,0,0,0,24.8,30.0,52.8,2.7,clear,0,7.5,10,0,light_jacket_or_sweater,light_jacket_or_sweater,heavy_winter_coat_gloves_hat,Clear day. Temp -9.5–2.2°C. Best time outdoors: 10:00.
DAY-00044,WS-001,Sivas Merkez,semi-arid_continental,2025-02-13,2,3,0,winter,-11.2,-1.2,-6.4,-18.8,-0.3,0,0,0,21.0,34.7,50.5,3.1,clear,0,5.7,12,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -11.2–-1.2°C. Best time outdoors: 12:00.
DAY-00045,WS-001,Sivas Merkez,semi-arid_continental,2025-02-14,2,4,0,winter,-8.0,1.6,-2.9,-14.0,14.1,23.6,16,7,18.5,33.0,75.1,1.7,snow,0,2.4,11,1,winter_coat_scarf_gloves,light_jacket_or_sweater,heavy_winter_coat_gloves_hat,Snow day. Temp -8.0–1.6°C. Rain 23.6mm. Best time outdoors: 11:00.
DAY-00046,WS-001,Sivas Merkez,semi-arid_continental,2025-02-15,2,5,1,winter,-9.3,1.9,-3.9,-12.5,8.5,26.2,18,5,16.0,29.7,77.8,1.7,snow,0,2.2,10,1,winter_coat_scarf_gloves,warm_jacket_layers,heavy_winter_coat_gloves_hat,Snow day. Temp -9.3–1.9°C. Rain 26.2mm. Best time outdoors: 10:00.
DAY-00047,WS-001,Sivas Merkez,semi-arid_continental,2025-02-16,2,6,1,winter,-8.8,2.7,-2.7,-14.4,14.8,0,0,0,19.5,26.1,50.7,3.0,clear,0,7.6,9,0,light_jacket_or_sweater,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Clear day. Temp -8.8–2.7°C. Best time outdoors: 9:00.
DAY-00048,WS-001,Sivas Merkez,semi-arid_continental,2025-02-17,2,0,0,winter,-15.4,-3.2,-9.2,-23.5,10.1,0,0,0,22.7,39.4,48.4,3.1,clear,0,5.6,7,0,heavy_winter_coat_gloves_hat,light_jacket_or_sweater,heavy_winter_coat_gloves_hat,Clear day. Temp -15.4–-3.2°C. Best time outdoors: 7:00.
DAY-00049,WS-001,Sivas Merkez,semi-arid_continental,2025-02-18,2,1,0,winter,-9.2,2.8,-2.8,-17.9,10.0,7.4,16,5,26.3,42.9,78.2,1.4,snow,0,2.7,9,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Snow day. Temp -9.2–2.8°C. Rain 7.4mm. Best time outdoors: 9:00.
DAY-00050,WS-001,Sivas Merkez,semi-arid_continental,2025-02-19,2,2,0,winter,-7.4,3.7,-1.9,-14.8,14.4,0,0,0,21.2,34.5,46.8,3.0,clear,0,7.6,9,0,winter_coat_scarf_gloves,light_jacket_or_sweater,winter_coat_scarf_gloves,Clear day. Temp -7.4–3.7°C. Best time outdoors: 9:00.
DAY-00051,WS-001,Sivas Merkez,semi-arid_continental,2025-02-20,2,3,0,winter,-13.1,-1.6,-7.4,-18.7,12.1,11.7,24,0,15.1,29.5,76.9,1.6,snow,0,0.2,10,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Snow day. Temp -13.1–-1.6°C. Rain 11.7mm. Best time outdoors: 10:00.
DAY-00052,WS-001,Sivas Merkez,semi-arid_continental,2025-02-21,2,4,0,winter,-8.1,3.2,-2.4,-13.3,14.1,0,0,0,17.4,33.6,46.3,2.6,clear,0,7.8,8,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,light_jacket_or_sweater,Clear day. Temp -8.1–3.2°C. Best time outdoors: 8:00.
DAY-00053,WS-001,Sivas Merkez,semi-arid_continental,2025-02-22,2,5,1,winter,-15.9,-4.5,-9.9,-23.3,10.0,0,0,0,20.0,34.5,48.5,2.7,clear,0,5.6,10,0,warm_jacket_layers,light_jacket_or_sweater,heavy_winter_coat_gloves_hat,Clear day. Temp -15.9–-4.5°C. Best time outdoors: 10:00.
DAY-00054,WS-001,Sivas Merkez,semi-arid_continental,2025-02-23,2,6,1,winter,-7.2,5.0,-1.9,-11.3,14.8,0,0,0,17.4,27.4,47.5,3.1,clear,0,7.8,7,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -7.2–5.0°C. Best time outdoors: 7:00.
DAY-00055,WS-001,Sivas Merkez,semi-arid_continental,2025-02-24,2,0,0,winter,-12.0,0.0,-5.6,-15.9,12.6,0,0,0,16.5,27.8,47.1,3.0,clear,0,6.8,12,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -12.0–0.0°C. Best time outdoors: 12:00.
DAY-00056,WS-001,Sivas Merkez,semi-arid_continental,2025-02-25,2,1,0,winter,-7.7,3.8,-2.6,-14.9,13.2,0,0,0,26.5,50.0,52.5,2.6,clear,0,7.5,8,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,light_jacket_or_sweater,Clear day. Temp -7.7–3.8°C. Best time outdoors: 8:00.
DAY-00057,WS-001,Sivas Merkez,semi-arid_continental,2025-02-26,2,2,0,winter,-3.5,8.7,2.4,-7.2,17.5,26.0,7,17,17.6,33.0,81.1,1.3,drizzle,0,4.4,6,1,warm_jacket_layers,warm_jacket_layers,winter_coat_scarf_gloves,Drizzle day. Temp -3.5–8.7°C. Rain 26.0mm. Best time outdoors: 6:00.
DAY-00058,WS-001,Sivas Merkez,semi-arid_continental,2025-02-27,2,3,0,winter,-9.6,1.7,-3.8,-15.2,13.6,0,0,0,23.8,35.2,48.1,3.0,clear,0,7.3,9,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -9.6–1.7°C. Best time outdoors: 9:00.
DAY-00059,WS-001,Sivas Merkez,semi-arid_continental,2025-02-28,2,4,0,winter,-7.8,2.5,-2.4,-13.7,14.2,10.4,16,6,19.9,25.2,80.6,1.2,snow,0,3.1,11,1,light_jacket_or_sweater,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Snow day. Temp -7.8–2.5°C. Rain 10.4mm. Best time outdoors: 11:00.
DAY-00060,WS-001,Sivas Merkez,semi-arid_continental,2025-03-01,3,5,1,spring,-3.6,8.0,2.1,-8.2,8.9,0,0,0,23.7,40.3,49.1,4.0,clear,0,8.8,7,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -3.6–8.0°C. Best time outdoors: 7:00.
DAY-00061,WS-001,Sivas Merkez,semi-arid_continental,2025-03-02,3,6,1,spring,-6.5,5.5,-0.4,-11.8,16.0,0,0,0,16.1,27.0,49.0,3.9,clear,0,8.4,7,0,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -6.5–5.5°C. Best time outdoors: 7:00.
DAY-00062,WS-001,Sivas Merkez,semi-arid_continental,2025-03-03,3,0,0,spring,-4.6,6.3,0.5,-8.4,16.2,0,0,0,20.6,40.9,50.7,4.1,clear,0,8.6,6,0,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Clear day. Temp -4.6–6.3°C. Best time outdoors: 6:00.
DAY-00063,WS-001,Sivas Merkez,semi-arid_continental,2025-03-04,3,1,0,spring,-6.0,5.0,-0.4,-10.5,16.2,0,0,0,17.2,31.6,44.8,3.9,clear,0,8.3,7,0,warm_jacket_layers,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Clear day. Temp -6.0–5.0°C. Best time outdoors: 7:00.
DAY-00064,WS-001,Sivas Merkez,semi-arid_continental,2025-03-05,3,2,0,spring,0.2,11.2,5.9,-4.4,19.3,0,0,0,24.1,39.0,47.6,4.0,clear,0,10.0,6,0,long_sleeves_light_layer,light_jacket_or_sweater,warm_jacket_layers,Clear day. Temp 0.2–11.2°C. Best time outdoors: 6:00.
DAY-00065,WS-001,Sivas Merkez,semi-arid_continental,2025-03-06,3,3,0,spring,-5.6,7.4,0.3,-10.2,13.7,0,0,0,17.8,30.3,47.4,4.0,clear,0,8.4,7,0,winter_coat_scarf_gloves,warm_jacket_layers,light_jacket_or_sweater,Clear day. Temp -5.6–7.4°C. Best time outdoors: 7:00.
DAY-00066,WS-001,Sivas Merkez,semi-arid_continental,2025-03-07,3,4,0,spring,0.1,12.7,6.5,-1.6,19.3,0,0,0,19.3,32.3,46.5,3.9,clear,0,10.0,6,0,warm_jacket_layers,long_sleeves_light_layer,warm_jacket_layers,Clear day. Temp 0.1–12.7°C. Best time outdoors: 6:00.
DAY-00067,WS-001,Sivas Merkez,semi-arid_continental,2025-03-08,3,5,1,spring,-7.1,5.3,-0.9,-12.6,15.5,22.0,12,10,23.2,39.1,77.2,2.2,snow,0,3.3,8,1,winter_coat_scarf_gloves,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Snow day. Temp -7.1–5.3°C. Rain 22.0mm. Best time outdoors: 8:00.
DAY-00068,WS-001,Sivas Merkez,semi-arid_continental,2025-03-09,3,6,1,spring,-5.9,5.4,-0.5,-12.2,12.1,0,0,0,17.8,31.4,47.2,3.7,clear,0,8.2,7,0,light_jacket_or_sweater,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -5.9–5.4°C. Best time outdoors: 7:00.
DAY-00069,WS-001,Sivas Merkez,semi-arid_continental,2025-03-10,3,0,0,spring,-4.5,7.0,1.3,-7.6,11.6,0,0,0,26.0,51.9,50.1,4.1,clear,0,8.6,6,0,warm_jacket_layers,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -4.5–7.0°C. Best time outdoors: 6:00.
DAY-00070,WS-001,Sivas Merkez,semi-arid_continental,2025-03-11,3,1,0,spring,-6.0,5.1,-1.4,-12.2,16.3,0,0,0,20.3,40.0,51.2,4.1,clear,0,8.0,8,0,warm_jacket_layers,winter_coat_scarf_gloves,winter_coat_scarf_gloves,Clear day. Temp -6.0–5.1°C. Best time outdoors: 8:00.
DAY-00071,WS-001,Sivas Merkez,semi-arid_continental,2025-03-12,3,2,0,spring,-3.9,7.6,1.9,-9.5,16.5,0,0,0,25.4,49.0,47.8,4.0,clear,0,8.5,6,0,warm_jacket_layers,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -3.9–7.6°C. Best time outdoors: 6:00.
DAY-00072,WS-001,Sivas Merkez,semi-arid_continental,2025-03-13,3,3,0,spring,-8.4,2.0,-3.0,-15.1,14.1,0,0,0,22.2,35.7,47.8,4.0,clear,0,8.0,8,0,winter_coat_scarf_gloves,light_jacket_or_sweater,winter_coat_scarf_gloves,Clear day. Temp -8.4–2.0°C. Best time outdoors: 8:00.
DAY-00073,WS-001,Sivas Merkez,semi-arid_continental,2025-03-14,3,4,0,spring,-12.5,0.0,-6.3,-18.5,10.5,0,0,0,22.1,27.7,52.0,3.4,clear,0,6.1,11,0,light_jacket_or_sweater,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -12.5–0.0°C. Best time outdoors: 11:00.
DAY-00074,WS-001,Sivas Merkez,semi-arid_continental,2025-03-15,3,5,1,spring,-7.0,3.8,-1.6,-13.6,13.3,0,0,0,19.9,37.6,52.5,3.8,clear,0,7.8,8,0,light_jacket_or_sweater,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -7.0–3.8°C. Best time outdoors: 8:00.
